segment_id,token,proposed_lemma
# --- chapters: 5480 entries (2026-06-15T11:34:46.170324) ---
dbg_book01_ch001,omnis,omnis
dbg_book01_ch001,tres,tres
dbg_book01_ch001,qui,qui
dbg_book01_ch001,lingua,lingua
dbg_book01_ch001,lingua,lingua
dbg_book01_ch001,aquitanis,aquitanis
dbg_book01_ch001,garumna,garumna
dbg_book01_ch001,matrona,matrona
dbg_book01_ch001,sequana,sequana
dbg_book01_ch001,propterea,propterea
dbg_book01_ch001,qui,qui
dbg_book01_ch001,causa,causa
dbg_book01_ch001,initium,initium
dbg_book01_ch001,garumna,garumna
dbg_book01_ch001,aquitania,aquitania
dbg_book01_ch001,garumna,garumna
dbg_book01_ch002,is,is
dbg_book01_ch002,natura,natura
dbg_book01_ch002,qui,qui
dbg_book01_ch002,iura,iura
dbg_book01_ch002,qui,qui
dbg_book01_ch002,qui,qui
dbg_book01_ch002,autem,autem
dbg_book01_ch002,gloria,gloria
dbg_book01_ch002,qui,qui
dbg_book01_ch003,copia,copia
dbg_book01_ch003,is,is
dbg_book01_ch003,regnum,regnum
dbg_book01_ch003,sequanis,sequanis
dbg_book01_ch003,amicus,amicus
dbg_book01_ch003,regnum,regnum
dbg_book01_ch003,qui,qui
dbg_book01_ch003,idem,idem
dbg_book01_ch003,matrimonium,matrimonium
dbg_book01_ch003,propterea,propterea
dbg_book01_ch003,imperium,imperium
dbg_book01_ch003,ius,ius
dbg_book01_ch003,tres,tres
dbg_book01_ch004,indicium,indicium
dbg_book01_ch004,iudicium,iudicium
dbg_book01_ch004,decem,decem
dbg_book01_ch004,ius,ius
dbg_book01_ch005,oppida,oppida
dbg_book01_ch005,frumentum,frumentum
dbg_book01_ch005,rauracis,rauracis
dbg_book01_ch005,qui,qui
dbg_book01_ch006,itinera,itinera
dbg_book01_ch006,autem,autem
dbg_book01_ch006,propterea,propterea
dbg_book01_ch006,qui,qui
dbg_book01_ch006,rhodanus,rhodanus
dbg_book01_ch006,nondum,nondum
dbg_book01_ch006,is,is
dbg_book01_ch007,qui,qui
dbg_book01_ch007,qui,qui
dbg_book01_ch007,propterea,propterea
dbg_book01_ch007,memoria,memoria
dbg_book01_ch007,cassium,cassium
dbg_book01_ch007,spatium,spatium
dbg_book01_ch008,interea,interea
dbg_book01_ch008,qui,qui
dbg_book01_ch008,prouincia,prouincia
dbg_book01_ch008,qui,qui
dbg_book01_ch008,qui,qui
dbg_book01_ch008,numquam,numquam
dbg_book01_ch008,telis,telis
dbg_book01_ch009,uia,uia
dbg_book01_ch009,sequanis,sequanis
dbg_book01_ch009,gratia,gratia
dbg_book01_ch009,amicus,amicus
dbg_book01_ch009,matrimonium,matrimonium
dbg_book01_ch009,sequanis,sequanis
dbg_book01_ch010,qui,qui
dbg_book01_ch010,prouincia,prouincia
dbg_book01_ch010,tres,tres
dbg_book01_ch010,graioceli,graioceli
dbg_book01_ch011,auxilium,auxilium
dbg_book01_ch011,oppida,oppida
dbg_book01_ch011,item,item
dbg_book01_ch011,qui,qui
dbg_book01_ch011,fuga,fuga
dbg_book01_ch011,solum,solum
dbg_book01_ch012,heluetii,heluetii
dbg_book01_ch012,tres,tres
dbg_book01_ch012,uigilia,uigilia
dbg_book01_ch012,profectus,profectus
dbg_book01_ch012,nondum,nondum
dbg_book01_ch012,is,is
dbg_book01_ch012,pagus,pagus
dbg_book01_ch012,tigurinus,tigurinus
dbg_book01_ch012,omnis,omnis
dbg_book01_ch012,heluetia,heluetia
dbg_book01_ch012,pagus,pagus
dbg_book01_ch012,unus,unus
dbg_book01_ch012,memoria,memoria
dbg_book01_ch012,cassium,cassium
dbg_book01_ch012,solum,solum
dbg_book01_ch012,cassium,cassium
dbg_book01_ch013,reliquas,reliquas
dbg_book01_ch013,qui,qui
dbg_book01_ch013,is,is
dbg_book01_ch013,romanus,romanus
dbg_book01_ch013,ii,ii
dbg_book01_ch013,qui,qui
dbg_book01_ch013,auxilium,auxilium
dbg_book01_ch013,is,is
dbg_book01_ch013,locus,locus
dbg_book01_ch014,memoria,memoria
dbg_book01_ch014,qui,qui
dbg_book01_ch014,conscius,conscius
dbg_book01_ch014,causa,causa
dbg_book01_ch014,num,num
dbg_book01_ch014,uictoria,uictoria
dbg_book01_ch014,interdum,interdum
dbg_book01_ch014,item,item
dbg_book01_ch015,idem,idem
dbg_book01_ch015,prouincia,prouincia
dbg_book01_ch015,qui,qui
dbg_book01_ch015,qui,qui
dbg_book01_ch015,proelium,proelium
dbg_book01_ch015,audacius,audacius
dbg_book01_ch015,numquam,numquam
dbg_book01_ch015,praesentia,praesentia
dbg_book01_ch016,frumentum,frumentum
dbg_book01_ch016,copia,copia
dbg_book01_ch016,autem,autem
dbg_book01_ch016,propterea,propterea
dbg_book01_ch016,frumentum,frumentum
dbg_book01_ch016,qui,qui
dbg_book01_ch016,qui,qui
dbg_book01_ch016,annuus,annuus
dbg_book01_ch017,demum,demum
dbg_book01_ch017,liscus,liscus
