"book8_file","mean_caesar_caesar","mean_book8_caesar","ratio","separated","mfw","ngram_n","representation"
"Hirtius_DBG-08",1.1265,1.3092,1.162,TRUE,100,2,"lemmas"
"Hirtius_DBG-08",1.1312,1.2667,1.12,FALSE,200,2,"lemmas"
"Hirtius_DBG-08",1.1251,1.2165,1.081,FALSE,300,2,"lemmas"
"Hirtius_DBG-08",1.0727,1.1248,1.049,FALSE,500,2,"lemmas"
"Hirtius_DBG-08",1.0727,1.1248,1.049,FALSE,700,2,"lemmas"
"Hirtius_DBG-08",1.0727,1.1248,1.049,FALSE,1000,2,"lemmas"
"Hirtius_DBG-08",1.1276,1.2857,1.14,FALSE,100,2,"tokens"
"Hirtius_DBG-08",1.1344,1.257,1.108,FALSE,200,2,"tokens"
"Hirtius_DBG-08",1.1325,1.2003,1.06,FALSE,300,2,"tokens"
"Hirtius_DBG-08",1.0862,1.1186,1.03,FALSE,500,2,"tokens"
"Hirtius_DBG-08",1.0862,1.1186,1.03,FALSE,700,2,"tokens"
"Hirtius_DBG-08",1.0862,1.1186,1.03,FALSE,1000,2,"tokens"
"Hirtius_DBG-08",1.0937,1.3837,1.265,TRUE,100,3,"lemmas"
"Hirtius_DBG-08",1.1222,1.2777,1.139,FALSE,200,3,"lemmas"
"Hirtius_DBG-08",1.1289,1.2527,1.11,FALSE,300,3,"lemmas"
"Hirtius_DBG-08",1.1335,1.2347,1.089,FALSE,500,3,"lemmas"
"Hirtius_DBG-08",1.1321,1.2304,1.087,FALSE,700,3,"lemmas"
"Hirtius_DBG-08",1.1351,1.2198,1.075,FALSE,1000,3,"lemmas"
"Hirtius_DBG-08",1.1458,1.2197,1.064,FALSE,100,3,"tokens"
"Hirtius_DBG-08",1.1353,1.2406,1.093,FALSE,200,3,"tokens"
"Hirtius_DBG-08",1.1296,1.2516,1.108,FALSE,300,3,"tokens"
"Hirtius_DBG-08",1.1318,1.2438,1.099,FALSE,500,3,"tokens"
"Hirtius_DBG-08",1.1352,1.2268,1.081,FALSE,700,3,"tokens"
"Hirtius_DBG-08",1.1382,1.2115,1.064,FALSE,1000,3,"tokens"
"Hirtius_DBG-08",1.1023,1.3399,1.216,TRUE,100,4,"lemmas"
"Hirtius_DBG-08",1.1229,1.2697,1.131,FALSE,200,4,"lemmas"
"Hirtius_DBG-08",1.1207,1.2748,1.138,FALSE,300,4,"lemmas"
"Hirtius_DBG-08",1.1316,1.2429,1.098,FALSE,500,4,"lemmas"
"Hirtius_DBG-08",1.1344,1.2262,1.081,FALSE,700,4,"lemmas"
"Hirtius_DBG-08",1.1369,1.217,1.07,FALSE,1000,4,"lemmas"
"Hirtius_DBG-08",1.1098,1.2988,1.17,TRUE,100,4,"tokens"
"Hirtius_DBG-08",1.1224,1.2701,1.132,FALSE,200,4,"tokens"
"Hirtius_DBG-08",1.1287,1.2445,1.103,FALSE,300,4,"tokens"
"Hirtius_DBG-08",1.1306,1.2349,1.092,FALSE,500,4,"tokens"
"Hirtius_DBG-08",1.1284,1.241,1.1,FALSE,700,4,"tokens"
"Hirtius_DBG-08",1.1344,1.2227,1.078,FALSE,1000,4,"tokens"
