corpus,feature_set,feat_label,distance,dbc_r,dbc_p,dbc_ci_low,dbc_ci_high,mantel_r,mantel_p,mantel_ci_low,mantel_ci_high
Cicero Ad Atticum (yearly),function_words,Function Words (tokens),Delta,-0.3696969696969697,0.14714852851471485,-0.85,0.44654088050314467,0.09326854143666465,0.2768172318276817,-0.16364739175146195,0.32874108074783764
Cicero Ad Atticum (yearly),function_words,Function Words (tokens),Cosine,-0.33333333333333326,0.17671823281767182,-0.8823529411764705,0.475,0.12845701176070984,0.22922770772292278,-0.17751612748049975,0.39561569899206683
Cicero Ad Atticum (yearly),function_words,Function Words (lemmas),Delta,-0.05454545454545454,0.44700552994470055,-0.7232704402515724,0.6730070754716975,0.021535592774861747,0.45412545874541255,-0.24093758111813124,0.266833617556944
Cicero Ad Atticum (yearly),function_words,Function Words (lemmas),Cosine,-0.4424242424242424,0.1026489735102649,-0.95,0.4303797468354431,0.15740076965771377,0.17767822321776783,-0.14639186037680949,0.4266820025668474
Cicero Ad Atticum (yearly),mfw100,MFW 100 (tokens),Delta,-0.41818181818181815,0.11599884001159988,-0.9245283018867925,0.38271604938271603,0.2739442882901639,0.054299457005429944,-0.017911129413943776,0.5134017933452284
Cicero Ad Atticum (yearly),mfw100,MFW 100 (tokens),Cosine,-0.6848484848484848,0.017179828201717984,-1.0,0.05660377358490567,0.35074515799122175,0.02766972330276697,0.05297550198739855,0.5854147806832327
Cicero Ad Atticum (yearly),mfw100,MFW 100 (lemmas),Delta,-0.7212121212121211,0.011519884801151988,-1.0,-0.038461538461538464,0.247817375518614,0.06693933060669394,-0.02511074183122926,0.5002980576332927
Cicero Ad Atticum (yearly),mfw100,MFW 100 (lemmas),Cosine,-0.5030303030303029,0.07217927820721792,-0.9607843137254901,0.3207547169811321,0.30061522951869407,0.048289517104828955,0.005017827802047732,0.5355531271151129
Cicero Ad Atticum (yearly),mfw200,MFW 200 (tokens),Delta,-0.6848484848484848,0.018219817801821983,-0.9622641509433963,-0.038461538461538464,0.3911785787130819,0.006869931300686993,0.10805599280866514,0.6109873662700155
Cicero Ad Atticum (yearly),mfw200,MFW 200 (tokens),Cosine,-0.6727272727272726,0.01945980540194598,-0.9876543209876544,0.09808823529411692,0.35436477648519965,0.025799742002579975,0.06302708795414967,0.5881828124127236
Cicero Ad Atticum (yearly),mfw200,MFW 200 (lemmas),Delta,-0.5878787878787878,0.04021959780402196,-0.9607843137254901,0.0943696671073184,0.3540740951042395,0.013929860701392986,0.06318676458028971,0.5824062373540113
Cicero Ad Atticum (yearly),mfw200,MFW 200 (lemmas),Cosine,-0.5030303030303029,0.07324926750732492,-0.9610389610389609,0.31686375218983776,0.2963396068645269,0.05046949530504695,0.007209985961648394,0.5374611771919812
Cicero Ad Atticum (yearly),mfw300,MFW 300 (tokens),Delta,-0.6242424242424242,0.02989970100298997,-0.975,0.05660377358490567,0.333441558725923,0.013699863001369987,0.04601571472109135,0.550993330487716
