segment_id,work,book,chapter,tokens
dbg_book01_ch001,dbg,1,1,213
dbg_book01_ch002,dbg,1,2,162
dbg_book01_ch003,dbg,1,3,208
dbg_book01_ch004,dbg,1,4,103
dbg_book01_ch005,dbg,1,5,121
dbg_book01_ch006,dbg,1,6,150
dbg_book01_ch007,dbg,1,7,186
dbg_book01_ch008,dbg,1,8,147
dbg_book01_ch009,dbg,1,9,114
dbg_book01_ch010,dbg,1,10,165
dbg_book01_ch011,dbg,1,11,138
dbg_book01_ch012,dbg,1,12,191
dbg_book01_ch013,dbg,1,13,179
dbg_book01_ch014,dbg,1,14,222
dbg_book01_ch015,dbg,1,15,127
dbg_book01_ch016,dbg,1,16,186
dbg_book01_ch017,dbg,1,17,126
dbg_book01_ch018,dbg,1,18,273
dbg_book01_ch019,dbg,1,19,185
dbg_book01_ch020,dbg,1,20,211
dbg_book01_ch021,dbg,1,21,108
dbg_book01_ch022,dbg,1,22,161
dbg_book01_ch023,dbg,1,23,109
dbg_book01_ch024,dbg,1,24,104
dbg_book01_ch025,dbg,1,25,185
dbg_book01_ch026,dbg,1,26,197
dbg_book01_ch027,dbg,1,27,122
dbg_book01_ch028,dbg,1,28,162
dbg_book01_ch029,dbg,1,29,103
dbg_book01_ch030,dbg,1,30,138
dbg_book01_ch031,dbg,1,31,522
dbg_book01_ch032,dbg,1,32,137
dbg_book01_ch033,dbg,1,33,182
dbg_book01_ch034,dbg,1,34,117
dbg_book01_ch035,dbg,1,35,166
dbg_book01_ch036,dbg,1,36,171
dbg_book01_ch037,dbg,1,37,104
dbg_book01_ch038,dbg,1,38,140
dbg_book01_ch039,dbg,1,39,242
dbg_book01_ch040,dbg,1,40,449
dbg_book01_ch041,dbg,1,41,137
dbg_book01_ch042,dbg,1,42,206
dbg_book01_ch043,dbg,1,43,251
dbg_book01_ch044,dbg,1,44,415
dbg_book01_ch045,dbg,1,45,96
dbg_book01_ch046,dbg,1,46,117
dbg_book01_ch047,dbg,1,47,197
dbg_book01_ch048,dbg,1,48,174
dbg_book01_ch049,dbg,1,49,125
dbg_book01_ch050,dbg,1,50,131
dbg_book01_ch051,dbg,1,51,112
dbg_book01_ch052,dbg,1,52,144
dbg_book01_ch053,dbg,1,53,208
dbg_book01_ch054,dbg,1,54,68
dbg_book02_ch001,dbg,2,1,137
dbg_book02_ch002,dbg,2,2,96
dbg_book02_ch003,dbg,2,3,126
dbg_book02_ch004,dbg,2,4,263
dbg_book02_ch005,dbg,2,5,193
dbg_book02_ch006,dbg,2,6,129
dbg_book02_ch007,dbg,2,7,93
dbg_book02_ch008,dbg,2,8,168
dbg_book02_ch009,dbg,2,9,126
dbg_book02_ch010,dbg,2,10,163
dbg_book02_ch011,dbg,2,11,183
dbg_book02_ch012,dbg,2,12,224
dbg_book02_ch013,dbg,2,13,119
dbg_book02_ch014,dbg,2,14,132
dbg_book02_ch015,dbg,2,15,84
dbg_book02_ch016,dbg,2,16,194
dbg_book02_ch017,dbg,2,17,82
dbg_book02_ch018,dbg,2,18,209
dbg_book02_ch019,dbg,2,19,123
dbg_book02_ch020,dbg,2,20,123
dbg_book02_ch021,dbg,2,21,73
dbg_book02_ch022,dbg,2,22,157
dbg_book02_ch023,dbg,2,23,165
dbg_book02_ch024,dbg,2,24,189
dbg_book02_ch025,dbg,2,25,132
dbg_book02_ch026,dbg,2,26,125
dbg_book02_ch027,dbg,2,27,115
dbg_book02_ch028,dbg,2,28,155
dbg_book02_ch029,dbg,2,29,90
dbg_book02_ch030,dbg,2,30,128
dbg_book02_ch031,dbg,2,31,112
dbg_book02_ch032,dbg,2,32,191
dbg_book02_ch033,dbg,2,33,47
dbg_book02_ch034,dbg,2,34,101
dbg_book03_ch001,dbg,3,1,166
dbg_book03_ch002,dbg,3,2,144
dbg_book03_ch003,dbg,3,3,114
dbg_book03_ch004,dbg,3,4,109
dbg_book03_ch005,dbg,3,5,124
dbg_book03_ch006,dbg,3,6,144
dbg_book03_ch007,dbg,3,7,116
dbg_book03_ch008,dbg,3,8,165
dbg_book03_ch009,dbg,3,9,264
dbg_book03_ch010,dbg,3,10,90
dbg_book03_ch011,dbg,3,11,131
dbg_book03_ch012,dbg,3,12,134
dbg_book03_ch013,dbg,3,13,224
dbg_book03_ch014,dbg,3,14,344
dbg_book03_ch015,dbg,3,15,266
dbg_book03_ch016,dbg,3,16,186
dbg_book03_ch017,dbg,3,17,154
dbg_book03_ch018,dbg,3,18,159
dbg_book03_ch019,dbg,3,19,121
dbg_book03_ch020,dbg,3,20,116
dbg_book03_ch021,dbg,3,21,184
dbg_book03_ch022,dbg,3,22,126
dbg_book03_ch023,dbg,3,23,76
dbg_book03_ch024,dbg,3,24,148
dbg_book03_ch025,dbg,3,25,54
dbg_book03_ch026,dbg,3,26,134
dbg_book03_ch027,dbg,3,27,111
dbg_book04_ch001,dbg,4,1,223
dbg_book04_ch002,dbg,4,2,131
dbg_book04_ch003,dbg,4,3,116
dbg_book04_ch004,dbg,4,4,168
dbg_book04_ch005,dbg,4,5,101
dbg_book04_ch006,dbg,4,6,101
dbg_book04_ch007,dbg,4,7,132
dbg_book04_ch008,dbg,4,8,86
dbg_book04_ch009,dbg,4,9,65
dbg_book04_ch010,dbg,4,10,110
dbg_book04_ch011,dbg,4,11,164
dbg_book04_ch012,dbg,4,12,182
dbg_book04_ch013,dbg,4,13,172
dbg_book04_ch014,dbg,4,14,119
dbg_book04_ch015,dbg,4,15,113
dbg_book04_ch016,dbg,4,16,228
dbg_book04_ch017,dbg,4,17,246
dbg_book04_ch018,dbg,4,18,88
dbg_book04_ch019,dbg,4,19,154
dbg_book04_ch020,dbg,4,20,146
dbg_book04_ch021,dbg,4,21,195
dbg_book04_ch022,dbg,4,22,187
dbg_book04_ch023,dbg,4,23,180
dbg_book04_ch024,dbg,4,24,124
dbg_book04_ch025,dbg,4,25,170
dbg_book04_ch026,dbg,4,26,138
dbg_book04_ch027,dbg,4,27,149
dbg_book04_ch028,dbg,4,28,97
dbg_book04_ch029,dbg,4,29,140
dbg_book04_ch030,dbg,4,30,96
dbg_book04_ch031,dbg,4,31,93
dbg_book04_ch032,dbg,4,32,169
dbg_book04_ch033,dbg,4,33,114
dbg_book04_ch034,dbg,4,34,128
dbg_book04_ch035,dbg,4,35,89
dbg_book04_ch036,dbg,4,36,74
dbg_book04_ch037,dbg,4,37,115
dbg_book04_ch038,dbg,4,38,119
dbg_book05_ch001,dbg,5,1,211
dbg_book05_ch002,dbg,5,2,131
dbg_book05_ch003,dbg,5,3,208
dbg_book05_ch004,dbg,5,4,135
dbg_book05_ch005,dbg,5,5,91
dbg_book05_ch006,dbg,5,6,188
dbg_book05_ch007,dbg,5,7,191
dbg_book05_ch008,dbg,5,8,185
dbg_book05_ch009,dbg,5,9,191
dbg_book05_ch010,dbg,5,10,78
dbg_book05_ch011,dbg,5,11,195
dbg_book05_ch012,dbg,5,12,147
dbg_book05_ch013,dbg,5,13,184
dbg_book05_ch014,dbg,5,14,106
dbg_book05_ch015,dbg,5,15,111
dbg_book05_ch016,dbg,5,16,114
dbg_book05_ch017,dbg,5,17,121
dbg_book05_ch018,dbg,5,18,106
dbg_book05_ch019,dbg,5,19,115
dbg_book05_ch020,dbg,5,20,92
dbg_book05_ch021,dbg,5,21,117
dbg_book05_ch022,dbg,5,22,146
dbg_book05_ch023,dbg,5,23,135
dbg_book05_ch024,dbg,5,24,188
dbg_book05_ch025,dbg,5,25,123
dbg_book05_ch026,dbg,5,26,111
dbg_book05_ch027,dbg,5,27,324
dbg_book05_ch028,dbg,5,28,138
dbg_book05_ch029,dbg,5,29,176
dbg_book05_ch030,dbg,5,30,102
dbg_book05_ch031,dbg,5,31,137
dbg_book05_ch032,dbg,5,32,64
dbg_book05_ch033,dbg,5,33,182
dbg_book05_ch034,dbg,5,34,120
dbg_book05_ch035,dbg,5,35,161
dbg_book05_ch036,dbg,5,36,104
dbg_book05_ch037,dbg,5,37,152
dbg_book05_ch038,dbg,5,38,90
dbg_book05_ch039,dbg,5,39,119
dbg_book05_ch040,dbg,5,40,145
dbg_book05_ch041,dbg,5,41,151
dbg_book05_ch042,dbg,5,42,96
dbg_book05_ch043,dbg,5,43,202
dbg_book05_ch044,dbg,5,44,251
dbg_book05_ch045,dbg,5,45,105
dbg_book05_ch046,dbg,5,46,99
dbg_book05_ch047,dbg,5,47,132
dbg_book05_ch048,dbg,5,48,167
dbg_book05_ch049,dbg,5,49,179
dbg_book05_ch050,dbg,5,50,111
dbg_book05_ch051,dbg,5,51,120
dbg_book05_ch052,dbg,5,52,142
dbg_book05_ch053,dbg,5,53,223
dbg_book05_ch054,dbg,5,54,199
dbg_book05_ch055,dbg,5,55,114
dbg_book05_ch056,dbg,5,56,141
dbg_book05_ch057,dbg,5,57,107
dbg_book05_ch058,dbg,5,58,205
dbg_book06_ch001,dbg,6,1,145
dbg_book06_ch002,dbg,6,2,104
dbg_book06_ch003,dbg,6,3,126
dbg_book06_ch004,dbg,6,4,102
dbg_book06_ch005,dbg,6,5,168
dbg_book06_ch006,dbg,6,6,77
dbg_book06_ch007,dbg,6,7,217
dbg_book06_ch008,dbg,6,8,241
dbg_book06_ch009,dbg,6,9,164
dbg_book06_ch010,dbg,6,10,160
dbg_book06_ch011,dbg,6,11,124
dbg_book06_ch012,dbg,6,12,227
dbg_book06_ch013,dbg,6,13,307
dbg_book06_ch014,dbg,6,14,172
