feature_set,book,author_group,distance
function_words_tokens,8,hirtius,304.5617
function_words_tokens,4,caesar,282.5463
function_words_tokens,6,caesar,277.4305
function_words_tokens,1,caesar,274.675
function_words_tokens,3,caesar,259.0963
function_words_tokens,2,caesar,246.4106
function_words_tokens,5,caesar,237.9783
function_words_tokens,7,caesar,214.7098
function_words_lemmas,8,hirtius,173.3183
function_words_lemmas,1,caesar,166.314
function_words_lemmas,3,caesar,150.5874
function_words_lemmas,4,caesar,150.2721
function_words_lemmas,6,caesar,145.8947
function_words_lemmas,2,caesar,142.0958
function_words_lemmas,5,caesar,140.9351
function_words_lemmas,7,caesar,122.6353
mfw100_tokens,8,hirtius,122.6013
mfw100_tokens,1,caesar,108.1671
mfw100_tokens,6,caesar,103.6995
mfw100_tokens,4,caesar,99.6708
mfw100_tokens,2,caesar,94.0785
mfw100_tokens,3,caesar,92.7581
mfw100_tokens,5,caesar,75.6561
mfw100_tokens,7,caesar,75.0794
mfw100_lemmas,1,caesar,110.7245
mfw100_lemmas,8,hirtius,109.9691
mfw100_lemmas,2,caesar,103.9707
mfw100_lemmas,4,caesar,93.4809
mfw100_lemmas,6,caesar,93.1788
mfw100_lemmas,3,caesar,89.0946
mfw100_lemmas,7,caesar,80.5466
mfw100_lemmas,5,caesar,79.5788
