segment_id,author_group,work,book,total_ngrams,s ,m ,e ,er,t , c,um,qu, a,is,re,nt,it, e, p,ti,at,in, i,tu,us,ue,te,i ,es, s,ri,on,en,ui,ra,a ,co,o ,et,ni,se,li,an,ta,ne,or,di, u,ci,ar,st,ae,iu,pe,si,os,em, q, d, n, m,io,ru,ss,ur,de,ib,r ,am,ia,bu, r,su,pr,im,un,ro,mi,ca,n ,cu,ua,tr,d , t, f, o,ma,om,ad,ce, l, h,no,as,ic,po,au,ex,uo,el,ul,ut,ll,ec,il,du,id,le,na,ns,to,ct,ac,sa,ab,rt,nu,nd,pa,me,lo,ed,ba,mp,al,oc,la,ie,eb,op,pi,lu,eq,mu,be,gn,fi,mo,gi,bi,eg,ii,c ,ho,od,fe,x ,mn,ir,ge,ga,sq,ei, g,ag,nc,pu,uc,ud,tq,eo,rc,hi,ip,ha,xi,ub,sp,da,sc,ep,u ,ol,ea,lt,fa, b,do,ig,ot,eu,b ,iq,rr,rm,cc,pp,mm,ug,pl,tt,pt,up,ng,mq,rs,ou,fu,ef,ap,xe,ob,og
dbg_book01_ch001,caesar,dbg,1,1236,0.0291262136,0.0242718447,0.0194174757,0.0145631068,0.0258899676,0.0088996764,0.0218446602,0.0177993528,0.0202265372,0.0145631068,0.0072815534,0.0234627832,0.0080906149,0.0137540453,0.0113268608,0.0129449838,0.0056634304,0.0242718447,0.0105177994,0.0056634304,0.0056634304,0.0064724919,0.0129449838,0.0080906149,0.0080906149,0.0113268608,0.0048543689,0.0072815534,0.0121359223,0.0088996764,0.0024271845,0.0161812298,0.0056634304,0.001618123,0.0080906149,0.0169902913,0.0048543689,0.0072815534,0.0161812298,0.0064724919,0.0105177994,0.0080906149,0.0048543689,0.003236246,0.0008090615,0.0072815534,0.0040453074,0.0088996764,0.0040453074,0.0056634304,0.0024271845,0.0080906149,0.0064724919,0.0088996764,0.0040453074,0.0008090615,0.003236246,0.003236246,0.0097087379,0.001618123,0.0024271845,0.0008090615,0.0056634304,0.0048543689,0.0056634304,0.0072815534,0.0048543689,0.0040453074,0.0040453074,0.0048543689,0.0048543689,0.0105177994,0.0048543689,0.0072815534,0.003236246,0.0040453074,0.003236246,0.0072815534,0.0064724919,0.0064724919,0.0024271845,0.0097087379,0.0072815534,0.003236246,0.003236246,0.0048543689,0.003236246,0.003236246,0.0048543689,0.0024271845,0.0008090615,0.0008090615,0.0008090615,0.0024271845,0.0008090615,0.003236246,0.0105177994,0.0008090615,0.003236246,0.0072815534,0.0024271845,0.0,0.001618123,0.001618123,0.001618123,0.0072815534,0.001618123,0.0008090615,0.0024271845,0.0,0.0024271845,0.003236246,0.0080906149,0.001618123,0.001618123,0.0040453074,0.0048543689,0.003236246,0.0008090615,0.0,0.0008090615,0.0056634304,0.0024271845,0.0008090615,0.0008090615,0.0,0.0008090615,0.0008090615,0.0097087379,0.0024271845,0.0,0.0064724919,0.0,0.003236246,0.001618123,0.0040453074,0.0,0.0008090615,0.0024271845,0.0,0.001618123,0.0024271845,0.003236246,0.0,0.0048543689,0.0008090615,0.003236246,0.0105177994,0.0,0.0,0.0097087379,0.0,0.0024271845,0.0,0.0,0.0,0.001618123,0.0040453074,0.0008090615,0.0024271845,0.001618123,0.0,0.0008090615,0.0,0.0024271845,0.0008090615,0.0008090615,0.003236246,0.0008090615,0.003236246,0.0048543689,0.001618123,0.0,0.0056634304,0.0008090615,0.0,0.0008090615,0.0,0.0024271845,0.001618123,0.0,0.001618123,0.0008090615,0.0008090615,0.0008090615,0.0,0.0,0.0008090615,0.003236246,0.0,0.003236246,0.0,0.0008090615,0.0008090615,0.0,0.0008090615,0.001618123,0.0,0.0008090615,0.0
dbg_book01_ch002,caesar,dbg,1,961,0.0291363163,0.0156087409,0.0249739854,0.0104058273,0.0218522373,0.01144641,0.0093652445,0.0104058273,0.0124869927,0.0166493236,0.0083246618,0.01144641,0.0166493236,0.0145681582,0.0166493236,0.0208116545,0.0124869927,0.0208116545,0.0104058273,0.01144641,0.0135275754,0.0083246618,0.0124869927,0.0124869927,0.0062434964,0.0031217482,0.0041623309,0.0083246618,0.0062434964,0.01144641,0.0072840791,0.0104058273,0.0041623309,0.0104058273,0.0145681582,0.0083246618,0.0041623309,0.0072840791,0.0093652445,0.0041623309,0.0104058273,0.0052029136,0.0135275754,0.0062434964,0.0083246618,0.0062434964,0.0041623309,0.0020811655,0.0083246618,0.0041623309,0.0072840791,0.0062434964,0.0052029136,0.0062434964,0.0052029136,0.0041623309,0.0093652445,0.0041623309,0.0010405827,0.0093652445,0.0072840791,0.0010405827,0.0041623309,0.0052029136,0.0020811655,0.0052029136,0.0052029136,0.0041623309,0.0052029136,0.0041623309,0.0072840791,0.0020811655,0.0031217482,0.0083246618,0.0,0.0020811655,0.0052029136,0.0052029136,0.0020811655,0.0031217482,0.0020811655,0.01144641,0.0031217482,0.0031217482,0.0041623309,0.0010405827,0.0,0.0083246618,0.0104058273,0.0083246618,0.0031217482,0.0010405827,0.0020811655,0.0010405827,0.0041623309,0.0010405827,0.0083246618,0.0020811655,0.0041623309,0.0041623309,0.0010405827,0.0062434964,0.0010405827,0.0052029136,0.0031217482,0.0020811655,0.0010405827,0.0031217482,0.0010405827,0.0041623309,0.0010405827,0.0031217482,0.0062434964,0.0031217482,0.0031217482,0.0052029136,0.0010405827,0.0052029136,0.0,0.0041623309,0.0010405827,0.0052029136,0.0020811655,0.0062434964,0.0020811655,0.0041623309,0.0010405827,0.0041623309,0.0083246618,0.0010405827,0.0031217482,0.0041623309,0.0020811655,0.0052029136,0.0041623309,0.0010405827,0.0031217482,0.0010405827,0.0041623309,0.0010405827,0.0041623309,0.0020811655,0.0020811655,0.0052029136,0.0020811655,0.0031217482,0.0031217482,0.0020811655,0.0,0.0,0.0031217482,0.0031217482,0.0010405827,0.0010405827,0.0010405827,0.0052029136,0.0020811655,0.0,0.0,0.0010405827,0.0,0.0010405827,0.0010405827,0.0,0.0,0.0010405827,0.0,0.0,0.0010405827,0.0010405827,0.0,0.0041623309,0.0031217482,0.0031217482,0.0010405827,0.0,0.0020811655,0.0,0.0010405827,0.0010405827,0.0010405827,0.0010405827,0.0010405827,0.0,0.0,0.0,0.0,0.0,0.0,0.0020811655,0.0031217482,0.0,0.0020811655,0.0010405827,0.0010405827,0.0,0.0010405827,0.0,0.0020811655,0.0
dbg_book01_ch003,caesar,dbg,1,1294,0.0285935085,0.0216383308,0.0239567233,0.0224111283,0.0224111283,0.0177743431,0.0170015456,0.0092735703,0.013137558,0.0115919629,0.0162287481,0.0115919629,0.0115919629,0.014683153,0.0185471406,0.0185471406,0.0208655332,0.0115919629,0.0154559505,0.0085007728,0.0085007728,0.0054095827,0.0123647604,0.0115919629,0.0077279753,0.0139103555,0.0085007728,0.0108191654,0.0092735703,0.0077279753,0.0061823802,0.0054095827,0.0108191654,0.0061823802,0.0123647604,0.0030911901,0.0115919629,0.0069551777,0.0085007728,0.0069551777,0.0054095827,0.0077279753,0.0015455951,0.0023183926,0.0123647604,0.0046367852,0.0015455951,0.0038639876,0.013137558,0.0085007728,0.0030911901,0.0054095827,0.0069551777,0.0054095827,0.0054095827,0.0015455951,0.0038639876,0.0030911901,0.0061823802,0.0061823802,0.0046367852,0.0038639876,0.0023183926,0.0046367852,0.0061823802,0.0054095827,0.0023183926,0.0061823802,0.0069551777,0.0046367852,0.0069551777,0.0015455951,0.0054095827,0.0030911901,0.0023183926,0.0069551777,0.0038639876,0.0077279753,0.0023183926,0.0046367852,0.0038639876,0.0061823802,0.0061823802,0.0077279753,0.0015455951,0.0061823802,0.0038639876,0.0015455951,0.0030911901,0.0038639876,0.0046367852,0.0061823802,0.0054095827,0.0007727975,0.0007727975,0.0030911901,0.0023183926,0.0023183926,0.0023183926,0.0038639876,0.0007727975,0.0046367852,0.0061823802,0.0015455951,0.0030911901,0.0030911901,0.0007727975,0.0061823802,0.0038639876,0.0069551777,0.0007727975,0.0007727975,0.0015455951,0.0038639876,0.0030911901,0.0054095827,0.0046367852,0.0015455951,0.0015455951,0.0015455951,0.0023183926,0.0023183926,0.0015455951,0.0007727975,0.0023183926,0.0023183926,0.0038639876,0.0023183926,0.0015455951,0.0015455951,0.0023183926,0.0,0.0030911901,0.0085007728,0.0030911901,0.0023183926,0.0038639876,0.0046367852,0.0015455951,0.0023183926,0.0,0.0015455951,0.0007727975,0.0007727975,0.0007727975,0.0038639876,0.0023183926,0.0023183926,0.0,0.0007727975,0.0015455951,0.0,0.0015455951,0.0015455951,0.0023183926,0.0,0.0,0.0015455951,0.0007727975,0.0007727975,0.0023183926,0.0023183926,0.0030911901,0.0007727975,0.0007727975,0.0030911901,0.0015455951,0.0007727975,0.0023183926,0.0,0.0030911901,0.0007727975,0.0023183926,0.0007727975,0.0,0.0023183926,0.0038639876,0.0,0.0,0.0007727975,0.0007727975,0.0038639876,0.0023183926,0.0015455951,0.0,0.0,0.0015455951,0.0,0.0015455951,0.0023183926,0.0,0.0007727975,0.0015455951,0.0,0.0,0.0,0.0007727975,0.0015455951,0.0030911901,0.0
dbg_book01_ch004,caesar,dbg,1,603,0.0265339967,0.0364842454,0.0165837479,0.0165837479,0.0232172471,0.0232172471,0.0182421227,0.0132669983,0.0099502488,0.0116086235,0.0132669983,0.008291874,0.0149253731,0.0182421227,0.0049751244,0.0099502488,0.0116086235,0.0116086235,0.0099502488,0.0132669983,0.0132669983,0.0116086235,0.0049751244,0.008291874,0.0099502488,0.0132669983,0.0116086235,0.008291874,0.0066334992,0.0116086235,0.0049751244,0.008291874,0.0116086235,0.0016583748,0.0149253731,0.0033167496,0.0049751244,0.0066334992,0.0016583748,0.008291874,0.008291874,0.0182421227,0.0132669983,0.0066334992,0.0099502488,0.0066334992,0.008291874,0.0033167496,0.0099502488,0.0033167496,0.0016583748,0.0049751244,0.0132669983,0.0033167496,0.0099502488,0.0049751244,0.0116086235,0.0033167496,0.0049751244,0.0,0.0049751244,0.0033167496,0.0033167496,0.008291874,0.0132669983,0.0049751244,0.0016583748,0.0033167496,0.008291874,0.0,0.0,0.0049751244,0.0,0.008291874,0.0049751244,0.0016583748,0.0033167496,0.0016583748,0.0033167496,0.0033167496,0.0,0.0016583748,0.0132669983,0.0049751244,0.0066334992,0.0033167496,0.0066334992,0.0,0.008291874,0.0,0.0016583748,0.0116086235,0.0033167496,0.0049751244,0.0049751244,0.0033167496,0.0033167496,0.0033167496,0.0049751244,0.0,0.0016583748,0.0033167496,0.0016583748,0.0,0.0,0.0049751244,0.0033167496,0.0066334992,0.0016583748,0.0,0.0049751244,0.0033167496,0.0049751244,0.008291874,0.0049751244,0.0,0.0016583748,0.0,0.0,0.0049751244,0.0,0.0,0.0,0.0,0.0033167496,0.0033167496,0.0016583748,0.0016583748,0.0033167496,0.0049751244,0.0016583748,0.0033167496,0.0033167496,0.0,0.0049751244,0.0033167496,0.0033167496,0.0033167496,0.0033167496,0.0,0.0033167496,0.0016583748,0.0,0.0066334992,0.0049751244,0.0,0.008291874,0.0,0.0016583748,0.0,0.0,0.0049751244,0.0033167496,0.0016583748,0.0,0.0033167496,0.0,0.0033167496,0.0,0.0,0.0033167496,0.0016583748,0.0016583748,0.0,0.0016583748,0.0016583748,0.0016583748,0.0,0.0,0.0,0.0033167496,0.0016583748,0.0016583748,0.0,0.0,0.0016583748,0.0,0.0,0.0016583748,0.0016583748,0.0,0.0016583748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016583748,0.0,0.0,0.0,0.0,0.0,0.0016583748,0.0033167496,0.0016583748
dbg_book01_ch005,caesar,dbg,1,710,0.0281690141,0.0211267606,0.0169014085,0.014084507,0.0253521127,0.0084507042,0.0154929577,0.014084507,0.0126760563,0.0183098592,0.0112676056,0.023943662,0.0070422535,0.0183098592,0.0112676056,0.0112676056,0.0098591549,0.0112676056,0.0098591549,0.0084507042,0.0070422535,0.0112676056,0.0028169014,0.0126760563,0.0042253521,0.0183098592,0.0112676056,0.0056338028,0.0112676056,0.0070422535,0.0169014085,0.0183098592,0.0084507042,0.0056338028,0.0070422535,0.0084507042,0.0070422535,0.0056338028,0.014084507,0.0056338028,0.0014084507,0.0070422535,0.0042253521,0.0112676056,0.0112676056,0.0056338028,0.0042253521,0.0028169014,0.0056338028,0.0042253521,0.0070422535,0.0098591549,0.0056338028,0.0070422535,0.0042253521,0.0056338028,0.0056338028,0.0070422535,0.0042253521,0.0028169014,0.0070422535,0.0042253521,0.0056338028,0.0042253521,0.0042253521,0.0084507042,0.0028169014,0.0084507042,0.0112676056,0.0042253521,0.0028169014,0.0084507042,0.0028169014,0.0028169014,0.0014084507,0.0014084507,0.0070422535,0.0070422535,0.0056338028,0.0112676056,0.0056338028,0.0056338028,0.0084507042,0.0,0.0084507042,0.0112676056,0.0042253521,0.0014084507,0.0014084507,0.0028169014,0.0,0.0084507042,0.0028169014,0.0014084507,0.0028169014,0.0042253521,0.0028169014,0.0028169014,0.0042253521,0.0,0.0042253521,0.0028169014,0.0028169014,0.0042253521,0.0,0.0042253521,0.0070422535,0.0056338028,0.0,0.0028169014,0.0,0.0014084507,0.0028169014,0.0042253521,0.0028169014,0.0028169014,0.0042253521,0.0014084507,0.0028169014,0.0028169014,0.0,0.0,0.0014084507,0.0042253521,0.0014084507,0.0,0.0042253521,0.0028169014,0.0028169014,0.0,0.0014084507,0.0028169014,0.0014084507,0.0056338028,0.0042253521,0.0028169014,0.0056338028,0.0,0.0028169014,0.0,0.0,0.0056338028,0.0014084507,0.0,0.0042253521,0.0,0.0014084507,0.0,0.0028169014,0.0028169014,0.0,0.0014084507,0.0028169014,0.0014084507,0.0,0.0,0.0,0.0014084507,0.0,0.0014084507,0.0,0.0,0.0,0.0056338028,0.0014084507,0.0028169014,0.0042253521,0.0014084507,0.0,0.0028169014,0.0028169014,0.0,0.0014084507,0.0014084507,0.0028169014,0.0014084507,0.0,0.0014084507,0.0,0.0014084507,0.0014084507,0.0,0.0,0.0042253521,0.0,0.0014084507,0.0,0.0,0.0014084507,0.0,0.0028169014,0.0028169014,0.0014084507,0.0,0.0,0.0014084507,0.0,0.0014084507,0.0014084507,0.0
dbg_book01_ch006,caesar,dbg,1,850,0.0305882353,0.0247058824,0.0129411765,0.0235294118,0.02,0.0058823529,0.0176470588,0.0117647059,0.0176470588,0.0094117647,0.0105882353,0.0152941176,0.0058823529,0.0152941176,0.0211764706,0.0141176471,0.0070588235,0.0152941176,0.0117647059,0.0070588235,0.0141176471,0.0105882353,0.0082352941,0.0082352941,0.0070588235,0.0047058824,0.0035294118,0.0117647059,0.0105882353,0.0082352941,0.0094117647,0.0082352941,0.0047058824,0.0117647059,0.0082352941,0.0082352941,0.0058823529,0.0047058824,0.0141176471,0.0,0.0094117647,0.0023529412,0.0070588235,0.0117647059,0.0070588235,0.0023529412,0.0047058824,0.0,0.0035294118,0.0105882353,0.0035294118,0.0105882353,0.0058823529,0.0070588235,0.0105882353,0.0058823529,0.0035294118,0.0058823529,0.0035294118,0.0035294118,0.0082352941,0.0023529412,0.0082352941,0.0129411765,0.0047058824,0.0023529412,0.0082352941,0.0070588235,0.0047058824,0.0070588235,0.0058823529,0.0023529412,0.0129411765,0.0,0.0023529412,0.0035294118,0.0011764706,0.0070588235,0.0035294118,0.0070588235,0.0011764706,0.0082352941,0.0058823529,0.0023529412,0.0070588235,0.0047058824,0.0011764706,0.0023529412,0.0035294118,0.0070588235,0.0011764706,0.0023529412,0.0047058824,0.0035294118,0.0058823529,0.0047058824,0.0058823529,0.0058823529,0.0035294118,0.0047058824,0.0011764706,0.0035294118,0.0047058824,0.0035294118,0.0023529412,0.0011764706,0.0047058824,0.0011764706,0.0023529412,0.0047058824,0.0,0.0023529412,0.0011764706,0.0082352941,0.0023529412,0.0058823529,0.0011764706,0.0047058824,0.0011764706,0.0023529412,0.0023529412,0.0070588235,0.0011764706,0.0,0.0035294118,0.0023529412,0.0047058824,0.0035294118,0.0070588235,0.0011764706,0.0047058824,0.0011764706,0.0,0.0047058824,0.0047058824,0.0011764706,0.0011764706,0.0,0.0,0.0,0.0035294118,0.0058823529,0.0011764706,0.0023529412,0.0035294118,0.0023529412,0.0011764706,0.0011764706,0.0011764706,0.0,0.0023529412,0.0,0.0011764706,0.0011764706,0.0023529412,0.0,0.0011764706,0.0023529412,0.0,0.0011764706,0.0011764706,0.0,0.0035294118,0.0,0.0,0.0035294118,0.0,0.0,0.0011764706,0.0,0.0011764706,0.0035294118,0.0023529412,0.0011764706,0.0035294118,0.0,0.0,0.0,0.0,0.0,0.0011764706,0.0,0.0,0.0023529412,0.0,0.0,0.0,0.0,0.0011764706,0.0011764706,0.0023529412,0.0011764706,0.0011764706,0.0011764706,0.0,0.0,0.0011764706,0.0,0.0035294118,0.0035294118
dbg_book01_ch007,caesar,dbg,1,1100,0.0190909091,0.0290909091,0.0145454545,0.0290909091,0.0281818182,0.01,0.0190909091,0.0090909091,0.0118181818,0.01,0.0145454545,0.0127272727,0.0118181818,0.0145454545,0.0154545455,0.0136363636,0.0181818182,0.0163636364,0.0163636364,0.0081818182,0.0063636364,0.01,0.0154545455,0.0127272727,0.01,0.0081818182,0.0090909091,0.0081818182,0.0127272727,0.0081818182,0.0081818182,0.0054545455,0.0054545455,0.0072727273,0.01,0.0072727273,0.0036363636,0.0072727273,0.0036363636,0.0054545455,0.0063636364,0.0036363636,0.0054545455,0.01,0.0127272727,0.0036363636,0.0036363636,0.0027272727,0.0127272727,0.0072727273,0.0054545455,0.0063636364,0.0063636364,0.0072727273,0.0054545455,0.0072727273,0.0090909091,0.0063636364,0.0036363636,0.0054545455,0.0054545455,0.0036363636,0.0036363636,0.0063636364,0.01,0.0081818182,0.0009090909,0.0036363636,0.0063636364,0.0072727273,0.0081818182,0.0054545455,0.0072727273,0.0063636364,0.0027272727,0.0045454545,0.0036363636,0.0036363636,0.0009090909,0.0109090909,0.0036363636,0.0054545455,0.0027272727,0.0054545455,0.0018181818,0.0045454545,0.0072727273,0.0063636364,0.0036363636,0.0036363636,0.0009090909,0.0054545455,0.0045454545,0.0036363636,0.0018181818,0.0036363636,0.0036363636,0.0063636364,0.0027272727,0.0045454545,0.0,0.0036363636,0.0027272727,0.0036363636,0.0072727273,0.0045454545,0.0009090909,0.0018181818,0.0009090909,0.0054545455,0.0018181818,0.0054545455,0.0018181818,0.0036363636,0.0054545455,0.0009090909,0.0036363636,0.0027272727,0.0018181818,0.0036363636,0.0036363636,0.0045454545,0.0018181818,0.0,0.0009090909,0.0018181818,0.0009090909,0.0,0.0036363636,0.0009090909,0.0009090909,0.0036363636,0.0,0.0027272727,0.0036363636,0.0009090909,0.0036363636,0.0036363636,0.0018181818,0.0,0.0009090909,0.0018181818,0.0,0.0,0.0009090909,0.0009090909,0.0018181818,0.0054545455,0.0,0.0036363636,0.0036363636,0.0,0.0054545455,0.0018181818,0.0009090909,0.0009090909,0.0,0.0009090909,0.0018181818,0.0,0.0009090909,0.0009090909,0.0027272727,0.0027272727,0.0018181818,0.0009090909,0.0018181818,0.0,0.0009090909,0.0009090909,0.0018181818,0.0027272727,0.0054545455,0.0,0.0,0.0,0.0027272727,0.0018181818,0.0036363636,0.0,0.0,0.0,0.0009090909,0.0,0.0009090909,0.0009090909,0.0,0.0009090909,0.0018181818,0.0,0.0,0.0009090909,0.0,0.0036363636,0.0,0.0018181818,0.0009090909,0.0009090909,0.0018181818,0.0009090909
dbg_book01_ch008,caesar,dbg,1,837,0.0167264038,0.0227001195,0.0191158901,0.0215053763,0.0238948626,0.0131421744,0.0167264038,0.0143369176,0.0083632019,0.0107526882,0.0119474313,0.0107526882,0.0215053763,0.0155316607,0.017921147,0.017921147,0.0107526882,0.0143369176,0.009557945,0.0107526882,0.0071684588,0.0107526882,0.0107526882,0.0215053763,0.0047789725,0.0119474313,0.0023894863,0.0143369176,0.0083632019,0.0131421744,0.0083632019,0.0131421744,0.0107526882,0.0083632019,0.0083632019,0.009557945,0.0083632019,0.009557945,0.0083632019,0.0,0.009557945,0.0023894863,0.0107526882,0.0059737157,0.0059737157,0.0011947431,0.0047789725,0.0023894863,0.0071684588,0.0107526882,0.0083632019,0.0059737157,0.0047789725,0.0083632019,0.0071684588,0.0059737157,0.009557945,0.0023894863,0.0071684588,0.0059737157,0.0083632019,0.0035842294,0.0071684588,0.0047789725,0.0071684588,0.0047789725,0.0047789725,0.0071684588,0.0023894863,0.0059737157,0.0035842294,0.0059737157,0.0059737157,0.0059737157,0.0011947431,0.0047789725,0.0047789725,0.0071684588,0.0011947431,0.0023894863,0.0023894863,0.0071684588,0.0035842294,0.0035842294,0.0035842294,0.0035842294,0.0011947431,0.0071684588,0.0047789725,0.0047789725,0.0023894863,0.0,0.0059737157,0.0011947431,0.0023894863,0.0011947431,0.0047789725,0.0035842294,0.0,0.0023894863,0.0047789725,0.0047789725,0.0023894863,0.0023894863,0.0047789725,0.0035842294,0.0023894863,0.0023894863,0.0059737157,0.0047789725,0.0023894863,0.0023894863,0.0011947431,0.0047789725,0.0011947431,0.0011947431,0.0011947431,0.0011947431,0.0023894863,0.0011947431,0.0035842294,0.0035842294,0.0023894863,0.0035842294,0.0023894863,0.0011947431,0.0035842294,0.0011947431,0.0071684588,0.0011947431,0.0035842294,0.0023894863,0.0,0.0011947431,0.0023894863,0.0011947431,0.0023894863,0.0047789725,0.0071684588,0.0011947431,0.0035842294,0.0023894863,0.0011947431,0.0011947431,0.0,0.0011947431,0.0,0.0035842294,0.0023894863,0.0011947431,0.0,0.0,0.0047789725,0.0023894863,0.0011947431,0.0023894863,0.0,0.0011947431,0.0,0.0023894863,0.0,0.0011947431,0.0,0.0011947431,0.0023894863,0.0035842294,0.0,0.0023894863,0.0059737157,0.0,0.0047789725,0.0023894863,0.0023894863,0.0,0.0011947431,0.0,0.0,0.0023894863,0.0011947431,0.0,0.0011947431,0.0,0.0,0.0,0.0011947431,0.0,0.0023894863,0.0,0.0,0.0,0.0,0.0023894863,0.0011947431,0.0023894863,0.0,0.0,0.0,0.0011947431,0.0,0.0
dbg_book01_ch009,caesar,dbg,1,688,0.0319767442,0.011627907,0.0218023256,0.0188953488,0.0334302326,0.0058139535,0.0087209302,0.0174418605,0.0101744186,0.011627907,0.0174418605,0.0145348837,0.0145348837,0.0145348837,0.0174418605,0.0159883721,0.0218023256,0.011627907,0.0145348837,0.0072674419,0.0072674419,0.0101744186,0.011627907,0.0058139535,0.0058139535,0.0203488372,0.011627907,0.0072674419,0.0058139535,0.0072674419,0.011627907,0.0130813953,0.0,0.0058139535,0.0188953488,0.0101744186,0.0145348837,0.0029069767,0.0174418605,0.0072674419,0.0087209302,0.0072674419,0.0014534884,0.0101744186,0.0087209302,0.0029069767,0.0043604651,0.0014534884,0.0058139535,0.0087209302,0.0029069767,0.0101744186,0.0029069767,0.0043604651,0.0072674419,0.0058139535,0.0043604651,0.0072674419,0.0,0.0014534884,0.0072674419,0.0072674419,0.0014534884,0.0087209302,0.0043604651,0.0087209302,0.0014534884,0.0043604651,0.0072674419,0.0043604651,0.0072674419,0.0029069767,0.0029069767,0.0029069767,0.0014534884,0.0043604651,0.0043604651,0.0145348837,0.0072674419,0.0043604651,0.0014534884,0.0029069767,0.0043604651,0.0043604651,0.0,0.0043604651,0.0,0.0029069767,0.0101744186,0.0101744186,0.0043604651,0.0072674419,0.0058139535,0.0,0.0014534884,0.0058139535,0.0072674419,0.0,0.0058139535,0.0,0.0014534884,0.0014534884,0.0072674419,0.0029069767,0.0043604651,0.0014534884,0.0014534884,0.0043604651,0.0029069767,0.0,0.0,0.0014534884,0.0,0.0014534884,0.0,0.0014534884,0.0,0.0,0.0014534884,0.0043604651,0.0029069767,0.0014534884,0.0,0.0014534884,0.0,0.0058139535,0.0014534884,0.0029069767,0.0087209302,0.0087209302,0.0014534884,0.0043604651,0.0014534884,0.0072674419,0.0014534884,0.0029069767,0.0,0.0029069767,0.0029069767,0.0,0.0,0.0014534884,0.0,0.0029069767,0.0029069767,0.0029069767,0.0029069767,0.0014534884,0.0014534884,0.0,0.0014534884,0.0,0.0,0.0014534884,0.0014534884,0.0029069767,0.0,0.0014534884,0.0,0.0029069767,0.0014534884,0.0029069767,0.0,0.0,0.0014534884,0.0,0.0014534884,0.0014534884,0.0,0.0014534884,0.0043604651,0.0,0.0,0.0014534884,0.0,0.0029069767,0.0029069767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029069767,0.0014534884,0.0014534884,0.0014534884,0.0014534884,0.0,0.0014534884,0.0014534884,0.0,0.0029069767,0.0014534884,0.0014534884,0.0029069767,0.0
dbg_book01_ch010,caesar,dbg,1,1024,0.0361328125,0.0244140625,0.0166015625,0.0205078125,0.0234375,0.0126953125,0.01953125,0.01171875,0.009765625,0.0126953125,0.009765625,0.01171875,0.017578125,0.0166015625,0.0166015625,0.0107421875,0.0087890625,0.0244140625,0.0205078125,0.0068359375,0.0087890625,0.0048828125,0.0087890625,0.0107421875,0.0126953125,0.0068359375,0.0146484375,0.01171875,0.0068359375,0.0087890625,0.005859375,0.00390625,0.0078125,0.0048828125,0.0078125,0.0107421875,0.0048828125,0.005859375,0.0078125,0.0029296875,0.0078125,0.0068359375,0.0029296875,0.00390625,0.0146484375,0.001953125,0.001953125,0.0078125,0.001953125,0.005859375,0.0029296875,0.005859375,0.0029296875,0.0068359375,0.0029296875,0.0009765625,0.00390625,0.0087890625,0.0068359375,0.0009765625,0.0048828125,0.0009765625,0.01171875,0.005859375,0.0048828125,0.009765625,0.0068359375,0.0029296875,0.0029296875,0.009765625,0.0068359375,0.00390625,0.01171875,0.0029296875,0.0029296875,0.0087890625,0.0048828125,0.005859375,0.0048828125,0.001953125,0.00390625,0.009765625,0.00390625,0.0048828125,0.0029296875,0.0,0.0048828125,0.0068359375,0.0087890625,0.0029296875,0.00390625,0.00390625,0.0009765625,0.001953125,0.0048828125,0.00390625,0.005859375,0.0048828125,0.0029296875,0.0048828125,0.0009765625,0.0009765625,0.0048828125,0.001953125,0.0048828125,0.0009765625,0.001953125,0.001953125,0.0,0.0009765625,0.00390625,0.005859375,0.0,0.00390625,0.0029296875,0.001953125,0.001953125,0.0078125,0.001953125,0.001953125,0.0009765625,0.0048828125,0.005859375,0.0009765625,0.00390625,0.0009765625,0.001953125,0.0009765625,0.001953125,0.001953125,0.0029296875,0.00390625,0.001953125,0.0068359375,0.0029296875,0.0029296875,0.00390625,0.0048828125,0.0029296875,0.0,0.001953125,0.001953125,0.0009765625,0.0009765625,0.0,0.001953125,0.0029296875,0.001953125,0.0009765625,0.001953125,0.001953125,0.0029296875,0.0048828125,0.001953125,0.001953125,0.0,0.0,0.0,0.0029296875,0.005859375,0.0009765625,0.001953125,0.001953125,0.0,0.0,0.0009765625,0.0009765625,0.0009765625,0.0,0.0009765625,0.0009765625,0.001953125,0.0009765625,0.0009765625,0.0,0.0009765625,0.0,0.0009765625,0.0029296875,0.0,0.0,0.0,0.0009765625,0.0009765625,0.0,0.0,0.0009765625,0.0,0.0009765625,0.001953125,0.0009765625,0.0,0.0,0.0048828125,0.0009765625,0.0009765625,0.0,0.001953125,0.0029296875,0.001953125
