feature_set,metric,test,dropped_book,r,p,delta_r_vs_full
MFW 200 Tokens,Delta,DBC_Anchor,1,-0.8857142857142858,0.016666666666666666,0.07857142857142874
MFW 200 Tokens,Cosine,DBC_Anchor,1,-0.942857142857143,0.008333333333333333,0.021428571428571574
MFW 200 Tokens,Delta,Mantel,1,0.24250004785711324,0.2152777777777778,-0.004510453958923161
MFW 200 Tokens,Cosine,Mantel,1,0.4850924329202277,0.05555555555555555,0.002476533551007132
MFW 200 Tokens,Delta,DBC_Anchor,2,-0.942857142857143,0.008333333333333333,0.021428571428571574
MFW 200 Tokens,Cosine,DBC_Anchor,2,-0.942857142857143,0.008333333333333333,0.021428571428571574
MFW 200 Tokens,Delta,Mantel,2,0.33628769967183997,0.14444444444444443,0.08927719785580357
MFW 200 Tokens,Cosine,Mantel,2,0.5900532379274542,0.016666666666666666,0.10743733855823367
MFW 200 Tokens,Delta,DBC_Anchor,3,-0.8857142857142858,0.016666666666666666,0.07857142857142874
MFW 200 Tokens,Cosine,DBC_Anchor,3,-0.942857142857143,0.008333333333333333,0.021428571428571574
MFW 200 Tokens,Delta,Mantel,3,0.37132435130500274,0.08194444444444444,0.12431384948896634
MFW 200 Tokens,Cosine,Mantel,3,0.5460980106693718,0.016666666666666666,0.06348211130015124
MFW 200 Tokens,Delta,DBC_Anchor,4,-0.942857142857143,0.008333333333333333,0.021428571428571574
MFW 200 Tokens,Cosine,DBC_Anchor,4,-0.942857142857143,0.008333333333333333,0.021428571428571574
MFW 200 Tokens,Delta,Mantel,4,0.21399386788931188,0.19166666666666668,-0.03301663392672452
MFW 200 Tokens,Cosine,Mantel,4,0.4622362184811655,0.019444444444444445,-0.020379680888055085
MFW 200 Tokens,Delta,DBC_Anchor,5,-1.0,0.001388888888888889,-0.035714285714285476
MFW 200 Tokens,Cosine,DBC_Anchor,5,-1.0,0.001388888888888889,-0.035714285714285476
MFW 200 Tokens,Delta,Mantel,5,0.15924758098743355,0.28888888888888886,-0.08776292082860285
MFW 200 Tokens,Cosine,Mantel,5,0.44241313512557073,0.05,-0.040202764243649824
MFW 200 Tokens,Delta,DBC_Anchor,6,-1.0,0.001388888888888889,-0.035714285714285476
MFW 200 Tokens,Cosine,DBC_Anchor,6,-1.0,0.001388888888888889,-0.035714285714285476
MFW 200 Tokens,Delta,Mantel,6,0.028467439822436297,0.4527777777777778,-0.2185430619936001
MFW 200 Tokens,Cosine,Mantel,6,0.3175800600807046,0.1388888888888889,-0.16503583928851595
MFW 200 Tokens,Delta,DBC_Anchor,7,-0.8857142857142858,0.016666666666666666,0.07857142857142874
MFW 200 Tokens,Cosine,DBC_Anchor,7,-0.942857142857143,0.008333333333333333,0.021428571428571574
MFW 200 Tokens,Delta,Mantel,7,0.41151153304835253,0.08055555555555556,0.16450103123231613
MFW 200 Tokens,Cosine,Mantel,7,0.5517764243106087,0.020833333333333332,0.06916052494138814
Char 2-grams,Delta,DBC_Anchor,1,-0.8285714285714287,0.029166666666666667,-0.042857142857142816
Char 2-grams,Cosine,DBC_Anchor,1,-0.7714285714285715,0.05138888888888889,0.08571428571428585
Char 2-grams,Delta,Mantel,1,0.2771769213715616,0.175,-0.1731115031966035
Char 2-grams,Cosine,Mantel,1,0.16804214408618118,0.2791666666666667,-0.21067092070402205
Char 2-grams,Delta,DBC_Anchor,2,-0.7714285714285715,0.05138888888888889,0.014285714285714457
Char 2-grams,Cosine,DBC_Anchor,2,-0.7714285714285715,0.05138888888888889,0.08571428571428585
Char 2-grams,Delta,Mantel,2,0.5447111768465787,0.025,0.09442275227841357
Char 2-grams,Cosine,Mantel,2,0.5470332108990646,0.0875,0.16832014610886142
Char 2-grams,Delta,DBC_Anchor,3,-0.8285714285714287,0.029166666666666667,-0.042857142857142816
Char 2-grams,Cosine,DBC_Anchor,3,-0.8285714285714287,0.029166666666666667,0.02857142857142858
Char 2-grams,Delta,Mantel,3,0.5291275797594968,0.015277777777777777,0.07883915519133167
Char 2-grams,Cosine,Mantel,3,0.49279611479025176,0.02361111111111111,0.11408305000004854
Char 2-grams,Delta,DBC_Anchor,4,-0.8285714285714287,0.029166666666666667,-0.042857142857142816
Char 2-grams,Cosine,DBC_Anchor,4,-0.8285714285714287,0.029166666666666667,0.02857142857142858
Char 2-grams,Delta,Mantel,4,0.5170329289837118,0.013888888888888888,0.06674450441554669
Char 2-grams,Cosine,Mantel,4,0.38718764222804325,0.044444444444444446,0.008474577437840025
Char 2-grams,Delta,DBC_Anchor,5,-0.8285714285714287,0.029166666666666667,-0.042857142857142816
Char 2-grams,Cosine,DBC_Anchor,5,-0.942857142857143,0.008333333333333333,-0.08571428571428563
Char 2-grams,Delta,Mantel,5,0.4278284861971752,0.058333333333333334,-0.022459938370989918
Char 2-grams,Cosine,Mantel,5,0.31961044400442096,0.1388888888888889,-0.05910262078578227
Char 2-grams,Delta,DBC_Anchor,6,-0.8857142857142858,0.016666666666666666,-0.09999999999999987
Char 2-grams,Cosine,DBC_Anchor,6,-0.8857142857142858,0.016666666666666666,-0.02857142857142847
Char 2-grams,Delta,Mantel,6,0.27783735923424197,0.2111111111111111,-0.17245106533392313
Char 2-grams,Cosine,Mantel,6,0.20542901290735988,0.2638888888888889,-0.17328405188284335
Char 2-grams,Delta,DBC_Anchor,7,-0.7714285714285715,0.05138888888888889,0.014285714285714457
Char 2-grams,Cosine,DBC_Anchor,7,-0.8857142857142858,0.016666666666666666,-0.02857142857142847
Char 2-grams,Delta,Mantel,7,0.5117306556223359,0.02638888888888889,0.06144223105417079
Char 2-grams,Cosine,Mantel,7,0.43309184866508166,0.07361111111111111,0.054378783874878434
Char 3-grams,Delta,DBC_Anchor,1,-0.8857142857142858,0.016666666666666666,0.04285714285714304
Char 3-grams,Cosine,DBC_Anchor,1,-0.6,0.12083333333333333,0.15000000000000024
Char 3-grams,Delta,Mantel,1,0.1498492746124602,0.3138888888888889,-0.13069092307277833
Char 3-grams,Cosine,Mantel,1,0.11379748899996814,0.36666666666666664,-0.21783671138266444
Char 3-grams,Delta,DBC_Anchor,2,-0.8857142857142858,0.016666666666666666,0.04285714285714304
Char 3-grams,Cosine,DBC_Anchor,2,-0.6,0.12083333333333333,0.15000000000000024
Char 3-grams,Delta,Mantel,2,0.47560574096751135,0.09027777777777778,0.19506554328227282
Char 3-grams,Cosine,Mantel,2,0.5011456083883173,0.11527777777777778,0.16951140800568476
Char 3-grams,Delta,DBC_Anchor,3,-0.942857142857143,0.008333333333333333,-0.014285714285714124
Char 3-grams,Cosine,DBC_Anchor,3,-0.8285714285714287,0.029166666666666667,-0.07857142857142851
Char 3-grams,Delta,Mantel,3,0.362719941335355,0.10416666666666667,0.08217974365011649
Char 3-grams,Cosine,Mantel,3,0.4832934518262684,0.029166666666666667,0.15165925144363585
Char 3-grams,Delta,DBC_Anchor,4,-0.942857142857143,0.008333333333333333,-0.014285714285714124
Char 3-grams,Cosine,DBC_Anchor,4,-0.7142857142857143,0.06805555555555555,0.03571428571428592
Char 3-grams,Delta,Mantel,4,0.2860832664372222,0.12777777777777777,0.005543068751983682
Char 3-grams,Cosine,Mantel,4,0.318834513524916,0.12222222222222222,-0.012799686857716597
Char 3-grams,Delta,DBC_Anchor,5,-0.942857142857143,0.008333333333333333,-0.014285714285714124
Char 3-grams,Cosine,DBC_Anchor,5,-0.8285714285714287,0.029166666666666667,-0.07857142857142851
Char 3-grams,Delta,Mantel,5,0.14660729112344145,0.325,-0.13393290656179707
Char 3-grams,Cosine,Mantel,5,0.2367867392285222,0.2388888888888889,-0.09484746115411039
Char 3-grams,Delta,DBC_Anchor,6,-0.942857142857143,0.008333333333333333,-0.014285714285714124
Char 3-grams,Cosine,DBC_Anchor,6,-0.8857142857142858,0.016666666666666666,-0.13571428571428557
Char 3-grams,Delta,Mantel,6,0.06268523955648427,0.3611111111111111,-0.21785495812875427
Char 3-grams,Cosine,Mantel,6,0.13681826767994423,0.3013888888888889,-0.19481593270268835
