feature_set,representation,lexical,mfw,condition,distance,mantel_r,mantel_p,dbc_r,dbc_p
Function Words,word,tokens,all,Full corpus (no exclusions),Delta,0.08751733083368321,0.35833333333333334,-0.21428571428571433,0.33075396825396824
Function Words,word,tokens,all,Full corpus (no exclusions),Cosine,0.4497297333010602,0.03869047619047619,-0.642857142857143,0.06944444444444445
Function Words,word,tokens,all,Without Book VI Germanic excursus,Delta,0.12490226114917526,0.30416666666666664,-0.3214285714285715,0.2488095238095238
Function Words,word,tokens,all,Without Book VI Germanic excursus,Cosine,0.3968596887415339,0.061507936507936505,-0.642857142857143,0.06944444444444445
Function Words,word,tokens,all,Without Book V British excursus,Delta,0.04760232083580766,0.41785714285714287,-0.21428571428571433,0.33075396825396824
Function Words,word,tokens,all,Without Book V British excursus,Cosine,0.42416994804885544,0.0494047619047619,-0.642857142857143,0.06944444444444445
Function Words,word,tokens,all,Without Both excursuses,Delta,0.08859357883794,0.3517857142857143,-0.3214285714285715,0.2488095238095238
Function Words,word,tokens,all,Without Both excursuses,Cosine,0.38535967482734435,0.06547619047619048,-0.642857142857143,0.06944444444444445
Function Words (lemmas),word,lemmas,all,Full corpus (no exclusions),Delta,0.21713967416313806,0.21071428571428572,-0.8571428571428573,0.011904761904761904
Function Words (lemmas),word,lemmas,all,Full corpus (no exclusions),Cosine,0.4968034115176614,0.018452380952380953,-0.5357142857142858,0.11785714285714285
Function Words (lemmas),word,lemmas,all,Without Book VI Germanic excursus,Delta,0.2380833734221843,0.1976190476190476,-0.642857142857143,0.06944444444444445
Function Words (lemmas),word,lemmas,all,Without Book VI Germanic excursus,Cosine,0.4586157425490884,0.04801587301587302,-0.5357142857142858,0.11785714285714285
Function Words (lemmas),word,lemmas,all,Without Book V British excursus,Delta,0.1638094165971062,0.25892857142857145,-0.8571428571428573,0.011904761904761904
Function Words (lemmas),word,lemmas,all,Without Book V British excursus,Cosine,0.46895850255344834,0.03333333333333333,-0.4642857142857144,0.15119047619047618
Function Words (lemmas),word,lemmas,all,Without Both excursuses,Delta,0.212318712228519,0.22023809523809523,-0.642857142857143,0.06944444444444445
Function Words (lemmas),word,lemmas,all,Without Both excursuses,Cosine,0.4425328502211436,0.05277777777777778,-0.4642857142857144,0.15119047619047618
