"Caesar_DBC" "Caesar_DBG-01" "Caesar_DBG-02" "Caesar_DBG-03" "Caesar_DBG-04" "Caesar_DBG-05" "Caesar_DBG-06" "Caesar_DBG-07" "Hirtius_DBG-08"
"in" 2.0528858062918 2.2148800783162 2.81452970892471 2.50906049623641 2.62008733624454 2.48101952277657 2.83467446964155 1.99235807860262 2.56251929607904
"et" 2.06527124102056 2.38619676945668 2.11691123406303 2.09088374686367 2.68558951965066 1.83026030368764 1.62765179224579 1.87409024745269 1.1268910157456
"ad" 1.61939559078524 1.3582966226138 1.78012990137118 1.4218009478673 1.76855895196507 1.85737527114967 1.46305779078274 1.54657933042213 1.26582278481013
"cum" 0.997027495665098 1.07684777288302 1.39523694972336 1.31028714803457 1.15720524017467 1.34219088937093 1.17044623262619 0.918850072780204 2.02222908305032
"ex" 1.13636363636364 0.709740577581987 1.05845561703151 1.00362419849456 1.22270742358079 1.12527114967462 0.932699341623994 1.09170305676856 0.679221982093239
"atque" 1.10540004954174 0.57513460597161 0.817897522251624 0.808475048787287 1.15720524017467 1.12527114967462 1.22531089978054 0.991630276564774 0.60203766594628
"ut" 0.997027495665098 0.905531081742535 0.938176569641568 0.72483969891274 0.698689956331878 0.85412147505423 0.932699341623994 0.873362445414847 0.632911392405063
"se" 0.789571463958385 1.12579539892315 0.745730093817657 0.696961248954558 1.06986899563319 0.827006507592191 0.932699341623994 0.818777292576419 0.586600802716888
"quod" 0.659524399306416 1.39500734214391 0.793841712773635 1.03150264845275 0.873362445414847 0.813449023861171 0.548646671543526 0.782387190684134 0.679221982093239
"ab" 0.650235323259846 0.550660792951542 1.15467885494347 0.557568999163647 0.54585152838428 0.827006507592191 0.6949524506218 1.01892285298399 0.43223217042297
"qui" 0.588308149616051 0.844346549192364 1.13062304546548 0.557568999163647 0.786026200873362 0.5558568329718 0.896122896854426 0.636826783114993 0.725532571781414
"non" 0.535670052018826 1.11355849241312 0.697618474861679 0.641204349038193 0.589519650655022 0.56941431670282 0.768105340160936 0.61863173216885 0.679221982093239
"caesar" 0.517091899925687 0.526186979931473 0.601395236949723 0.306662949540006 0.786026200873362 0.433839479392625 0.274323335771763 0.454876273653566 0.524853349799321
"neque" 0.470646519692841 0.611845325501713 0.529227808515757 0.696961248954558 0.807860262008734 0.501626898047722 0.56693489392831 0.318413391557496 0.355047854276011
"quae" 0.4830319544216 0.354870288790994 0.529227808515757 0.390298299414553 0.720524017467249 0.379609544468547 0.56693489392831 0.536754002911208 0.586600802716888
"a" 0.563537280158534 0.734214390602056 0.433004570603801 0.36241984945637 0.567685589519651 0.406724511930586 0.256035113386979 0.309315866084425 0.308737264587836
"de" 0.445875650235323 0.452765540871268 0.336781332691845 0.306662949540006 0.349344978165939 0.515184381778742 0.548646671543526 0.491266375545852 0.138931769064526
